,SPX Index,LUATTRUU Index,BCOMGC Index,BCOMCO Index,FNER Index,BGCI Index
13/10/2022,3669.91,2152.6,181.2556,510.9378,669.3,949.08
14/10/2022,3583.07,2146.57,178.2184,495.7064,652.93,947.47
17/10/2022,3677.95,2147.29,179.8505,495.8714,677.21,967.45
18/10/2022,3719.98,2151.04,178.9642,487.1835,684.89,952.04
19/10/2022,3695.16,2135.64,176.6296,497.9609,667.72,951.55
20/10/2022,3665.78,2124.14,176.9106,497.356,665.16,933.51
21/10/2022,3752.75,2123.71,179.0183,502.2499,669.99,941.27
24/10/2022,3797.34,2120.91,178.7805,501.535,669.86,962.14
25/10/2022,3859.11,2138.2,179.202,504.4493,696.17,1040.78
26/10/2022,3830.6,2146.85,180.4125,515.7216,695.38,1066.03
27/10/2022,3807.3,2157.39,180.0234,522.595,696.87,1066.06
28/10/2022,3901.06,2149.28,177.7753,515.6117,713.05,1067.05
31/10/2022,3871.98,2142.42,177.3322,510.3329,711.89,1068.99
01/11/2022,3856.1,2144.43,178.3049,520.4505,711.06,1070.6
02/11/2022,3759.69,2141.29,178.3373,528.7535,692.37,1049.95
03/11/2022,3719.89,2134.03,176.273,520.5605,691.42,1061.44
04/11/2022,3770.55,2129.76,181.2124,542.0053,700.78,1129.45
07/11/2022,3806.8,2123.43,181.6339,538.4312,700.32,1116.47
08/11/2022,3828.11,2132.46,185.4645,524.6207,703.11,942.45
09/11/2022,3748.57,2137.28,185.221,509.4951,695.58,819.48
10/11/2022,3956.37,2171.46,189.523,514.4666,746.14,925.46
11/11/2022,3992.93,2171.46,191.2089,527.3139,744.42,866.35
14/11/2022,3957.25,2166.26,191.9915,513.8163,726.28,832.83
15/11/2022,3991.73,2177.85,192.0773,520.2248,734.32,863.19
16/11/2022,3958.79,2190.12,192.013,513.6462,727.15,839.98
17/11/2022,3946.56,2180.13,190.5978,499.0143,722.66,838.51
18/11/2022,3965.34,2174.2,189.6544,490.9044,732.37,837.96
21/11/2022,3949.94,2175.03,188.1105,491.5282,736.52,778.49
22/11/2022,4003.58,2183.31,188.132,494.5907,740.87,800.57
23/11/2022,4027.26,2193.1,188.7324,481.6602,740.35,832.16
24/11/2022,4027.26,2193.1,188.7324,481.6602,740.35,832.16
25/11/2022,4026.12,2192.88,189.6329,473.7772,745.47,836.06
28/11/2022,3963.94,2194.77,188.1856,475.195,725.04,819.27
29/11/2022,3957.63,2188.06,189.0862,477.7471,737.59,839.39
30/11/2022,4080.11,2199.79,188.6788,493.343,753.44,877.09
01/12/2022,4076.57,2220.66,194.6075,492.3222,750.91,868.1
02/12/2022,4071.7,2226.28,194.0071,485.1764,749.01,880.31
05/12/2022,3998.84,2211.54,190.973,468.7865,735.09,867.01
06/12/2022,3941.26,2220.7,191.091,451.8294,729.07,865.95
07/12/2022,3933.92,2237.52,192.7635,440.0332,730.63,851.54
08/12/2022,3963.51,2230.64,193.1387,434.3619,735.6,874.57
09/12/2022,3934.38,2217.09,194.125,434.4186,734.37,866.06
12/12/2022,3990.56,2216.4,192.1524,444.2866,739.97,858.96
13/12/2022,4019.65,2229.61,195.7117,458.5782,752.53,892.46
14/12/2022,3995.32,2234.21,194.9827,469.2969,746.19,888.04
15/12/2022,3895.75,2236.25,191.6699,461.187,736.57,864.77
16/12/2022,3852.36,2232.11,192.9993,450.8086,716.78,829.12
19/12/2022,3817.66,2219.86,192.7313,454.4949,708.25,798.19
20/12/2022,3821.62,2208.74,195.701,456.7067,706.28,816.42
21/12/2022,3878.44,2211.06,195.701,468.3328,711.83,809.71
22/12/2022,3822.39,2209.59,192.474,463.1719,709.47,813.14
23/12/2022,3844.82,2200.7,193.4282,479.2216,715.64,814.59
26/12/2022,3844.82,2200.7,193.4282,479.2216,715.64,814.59
27/12/2022,3829.25,2187.85,195.4544,480.2424,715.16,808.85
28/12/2022,3783.22,2184.57,194.6718,476.3292,703.03,797.26
29/12/2022,3849.28,2190.79,195.7653,473.3235,717.06,790.73
30/12/2022,3839.5,2188.39,195.7868,487.2181,710.93,794.08
02/01/2023,3839.5,2188.39,195.7868,487.2181,710.93,794.08
03/01/2023,3824.14,2195.75,197.9203,465.6106,711.12,815.43
04/01/2023,3852.97,2206.51,199.3033,441.451,726.98,833.07
05/01/2023,3808.1,2204.71,197.3306,446.2716,706.94,836.77
06/01/2023,3895.08,2224.97,200.4504,445.591,726.22,840.89
09/01/2023,3892.09,2230.5,201.3188,451.716,725.39,882.59
10/01/2023,3919.25,2220.21,201.1817,454.1571,726.8,898.99
11/01/2023,3969.61,2230.83,201.4423,468.4547,753.02,901.08
12/01/2023,3983.17,2246.33,203.5711,475.8073,762.07,961.43
13/01/2023,3999.09,2238.14,206.0177,483.4425,757.22,972.14
16/01/2023,3999.09,2238.14,206.0177,483.4425,757.22,972.14
17/01/2023,3990.97,2235.72,204.7636,486.5015,759.5,1073.29
18/01/2023,3928.86,2256.53,204.4554,482.5927,748.41,1025.62
19/01/2023,3898.85,2251.77,206.2408,488.201,744.63,1046.16
20/01/2023,3972.61,2240.19,206.6978,495.7353,753.35,1105.26
23/01/2023,4019.81,2234.93,206.751,498.3411,756.24,1125.24
24/01/2023,4016.95,2244.44,207.4736,487.9744,758.82,1120.63
25/01/2023,4016.22,2246.82,208.2388,487.4079,759.32,1106.02
26/01/2023,4060.43,2241.19,206.8891,493.1861,767.32,1128.87
27/01/2023,4070.56,2239.4,206.7722,487.4079,775.72,1134.34
30/01/2023,4017.77,2235,206.092,476.6446,765.84,1101.96
31/01/2023,4076.6,2243.23,206.7403,482.4794,781.72,1128.55
01/02/2023,4119.21,2255.53,206.4746,467.8073,786.66,1156.4
02/02/2023,4179.76,2255.76,205.1993,464.6916,803.46,1186.87
03/02/2023,4136.48,2238.22,199.4391,451.5491,788.14,1170.77
06/02/2023,4111.08,2225.47,199.7473,457.214,783.21,1151.6
07/02/2023,4164,2221.59,200.3106,472.2826,780.69,1166.54
08/02/2023,4117.86,2226.12,200.9376,479.8169,778.01,1151.93
09/02/2023,4081.5,2218.12,199.641,476.1914,768.64,1105.88
10/02/2023,4090.46,2210.27,199.2159,487.1246,771.6,1084
13/02/2023,4137.29,2215.25,198.0469,488.4842,778,1058.03
14/02/2023,4136.13,2208.35,198.2488,483.2159,770.66,1104.5
15/02/2023,4147.6,2203.22,196.1127,481.7996,773.31,1182.08
16/02/2023,4090.41,2195.48,196.8035,480.3834,766.23,1201.26
17/02/2023,4079.09,2201.55,196.6334,468.3172,763.35,1220.85
20/02/2023,4079.09,2201.55,196.6334,468.3172,763.35,1220.85
21/02/2023,3997.34,2185.43,195.8151,468.8837,748.72,1199.55
22/02/2023,3991.05,2190.16,195.7088,455.7411,741.54,1162.59
23/02/2023,4012.32,2196.15,194.1465,464.2385,747.1,1178.19
24/02/2023,3970.04,2184.62,193.1156,469.1669,734.92,1138.29
27/02/2023,3982.24,2188.89,193.9446,464.7483,735.67,1133.45
28/02/2023,3970.15,2190.74,195.1987,472.7358,734.25,1132.43
01/03/2023,3951.39,2179.59,196.1233,477.6076,724.69,1141.55
02/03/2023,3981.35,2173.3,195.6025,480.1002,733.57,1138.54
03/03/2023,4045.64,2187.17,197.101,486.2183,744.83,1083.32
06/03/2023,4048.42,2183.67,197.101,488.201,741.66,1078.98
07/03/2023,3986.37,2182.54,193.4238,471.8294,724.33,1066.17
08/03/2023,3992.01,2181.88,193.2796,468.2759,732.82,1061.19
09/03/2023,3918.32,2191.42,194.9695,462.0985,715.75,977.18
10/03/2023,3861.59,2222.72,198.4086,468.4033,691.89,972.11
13/03/2023,3855.76,2245.41,203.5845,457.4653,702.14,1145.07
14/03/2023,3919.29,2228,202.9947,439.4232,707.84,1171.8
15/03/2023,3891.93,2253.11,205.1748,418.4029,706.87,1121.69
16/03/2023,3960.28,2238.04,204.2901,424.245,704.33,1149.69
