Dates,BTC Index,ETH Index,BGCI Index,FSTOK10 Index,FSTOK40 Index,SOBLCRTA Index,HODL5 Index
15/11/2017,818.27,512.66,404.94,144.26,106.446,1682.35,2194.77
16/11/2017,885.63,511.57,404.51,152.328,107.509,1712.23,2232.45
17/11/2017,864.27,512.49,417.76,150.556,105.677,1715.87,2303.18
20/11/2017,925.22,567.97,452.21,161.402,113.476,1729.72,2458.26
21/11/2017,912.79,556.74,440.13,158.715,112.934,1762.6,2460.02
22/11/2017,920.6,589.18,461.54,164.091,117.256,1756.06,2462.18
23/11/2017,920.6,589.18,461.54,163.225,115.072,1748.07,2608.87
24/11/2017,925.7,728.25,510.6,171.866,118.251,1741.64,2698.48
27/11/2017,1083.18,733.7,545,196.132,134.683,1713.6,2952.61
28/11/2017,1115.95,720.08,556.13,202.465,142.132,1733.14,3000.25
29/11/2017,1143.86,653.32,518.58,192.639,120.834,1690.84,3172.2
30/11/2017,1083.32,671.17,517.28,200.566,128.628,1705.92,2694.08
01/12/2017,1223.06,712.7,563.26,213.672,141.727,1702.73,3032.83
04/12/2017,1290.48,721.88,582.42,226.61,168.926,1669.68,3164.39
05/12/2017,1321.55,702.38,575.02,232.281,178.783,1677.1,3199.81
06/12/2017,1497.71,641.95,575.58,261.848,176.949,1691.17,3304.02
07/12/2017,1801.17,639.25,607.04,310.156,178.115,1713.6,3614.74
08/12/2017,1755.49,682.9,636.32,298.416,215.949,1722.04,3749.15
11/12/2017,1924.29,788.35,705.74,310.378,207.222,1720.13,4027.33
12/12/2017,1935.51,970.86,823.85,338.954,230.906,1724.35,4558.92
13/12/2017,1879.83,1071.94,868.6,330.197,226.76,1710.53,4839.88
14/12/2017,1851.97,1059.82,1014.44,343.448,251.338,1712.44,5033.04
15/12/2017,1978.37,1048.83,988.4,355.24,251.125,1746.64,5342.69
18/12/2017,2095.56,1220.75,1089.02,391.685,352.955,1753.06,5623.94
19/12/2017,1903.66,1222.7,1085.31,378.702,361.147,1744.08,5844.91
20/12/2017,1819.02,1222.65,1128.84,364.083,380.695,1719.43,5711.72
21/12/2017,1726.45,1215.17,1193.71,364.127,405.875,1724.72,5732.78
22/12/2017,1597.9,1012.54,1049.97,313.975,336.891,1719.98,4695.29
25/12/2017,1597.9,1012.54,1049.97,324.371,413.788,1719.98,5245.86
26/12/2017,1787.03,1156.76,1156.01,357.185,428.788,1719.98,5652.75
27/12/2017,1704.48,1131.89,1179.91,358.778,412.131,1713.41,5464.41
28/12/2017,1564.22,1089.56,1140.48,338.722,395.403,1704.55,5399.97
29/12/2017,1605.9,1132.85,1381.41,365.125,441.435,1683.05,6113.93
01/01/2018,1605.9,1132.85,1381.41,356.694,469.419,1683.05,5939.4
02/01/2018,1659.06,1334.74,1503.59,389.615,519.62,1704.87,6542
03/01/2018,1689.43,1444.03,1653.48,414.447,625.172,1747.83,7250.12
04/01/2018,1677.21,1465.97,1638.93,421.514,639.504,1778.86,7646.91
05/01/2018,1879.97,1481.99,1650.2,442.188,643.909,1801.6,7517.1
08/01/2018,1676.01,1772.62,1667.36,405.72,647.846,1823.39,7397.32
